country,genre,original_title,public,score,stars,storyline,time,title,year
Turkey,"Adventure,Comedy,Drama",Leyla ile Mecnun,TV-PG,9.1,"Cengiz Bozkurt,Ahmet Mümtaz Taylan,Ali Atay","Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.",80,Leyla and Mecnun,2011–2023
United States,Comedy,,TV-MA,8.8,"Larry David,Jeff Garlin,Cheryl Hines",The life and times of Larry David and the predicaments he gets himself into with his friends and complete strangers.,28,Curb Your Enthusiasm,2000– 
United Kingdom,Comedy,,TV-PG,8.8,"Andrew Sachs,John Cleese,Prunella Scales","Hotel owner Basil Fawlty's incompetence, short fuse, and arrogance form a combination that ensures accidents and trouble are never far away.",30,Fawlty Towers,1975–1979
United States,Drama,,TV-14,8.9,"Allison Janney,Martin Sheen,Rob Lowe",Inside the lives of staffers in the West Wing of the White House.,44,The West Wing,1999–2006
Turkey,Comedy,Gibi,2021– ,9.0,"Kivanç Kilinç,Feyyaz Yigit,Ahmet Kürsat Öçalan",Yilmaz and Ilkkan are two friends who are constantly fighting each other. Their greatest feature is always being able to do something that will turn their ordinary lives upside down.,,As If,2021– 
"West Germany,France,United Kingdom,Italy","Drama,War",,TV-MA,8.8,"Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann",A World War II German U-Boat crew have a terrifying patrol mission in the early days of the war.,293,Das Boot,1985
United Kingdom,"Comedy,Game-Show",,TV-14,9.0,"Greg Davies,Alex Horne,Kerry Godliman","Five comedians are set tasks challenging their creativity and wit. The tasks are supervised by Alex Horne but the Taskmaster, Greg Davies, always has the final word.",47,Taskmaster,2015– 
United Kingdom,Comedy,,TV-14,8.8,"Graham Chapman,John Cleese,Terry Gilliam",The original surreal sketch comedy showcase for the Monty Python troupe.,30,Monty Python's Flying Circus,1969–1974
United Kingdom,Documentary,,TV-PG,8.9,"David Attenborough,Mark Deeble,Simon Blakeney","Africa, the world's wildest continent. David Attenborough takes us on an awe-inspiring journey through one of the most diverse places in the world. We visit deserts, savannas, and jungles an...",360,Africa,2013
United States,Comedy,,TV-MA,8.8,"Rob McElhenney,Charlie Day,Kaitlin Olson",Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.,22,It's Always Sunny in Philadelphia,2005– 
India,"Comedy,Drama",,TV-MA,9.1,"Arunabh Kumar,Naveen Kasturia,Abhay Mahajan",A story of trials and tribulations of four young entrepreneurs who quit their day jobs in order to pursue their start up venture.,40,TVF Pitchers,2015–2022
France,"Documentary,History,War",Apocalypse: La 2ème guerre mondiale,TV-MA,9.0,"Rudolf Hess,Martin Sheen,Mathieu Kassovitz","This six-part series traces the Second World War, from the rise of the Nazis to the surrender of the Japanese, with detailed portraits of key figures.",312,Apocalypse: The Second World War,2009
"Canada,United States","Action,Adventure,Drama",,TV-MA,8.9,"Anna Torv,Pedro Pascal,Bella Ramsey","After a global pandemic destroys civilization, a hardened survivor takes charge of a 14-year-old girl who may be humanity's last hope.",50,The Last of Us,2023– 
United States,"Comedy,Romance",,TV-14,8.9,"Courteney Cox,Jennifer Aniston,Lisa Kudrow",Follows the personal and professional lives of six twenty to thirty year-old friends living in the Manhattan borough of New York City.,22,Friends,1994–2004
United States,"Comedy,News,Talk-Show",,TV-MA,8.9,"David Kaye,John Oliver,Ryan Barger",Former Daily Show host and correspondent John Oliver brings his persona to this weekly news satire program.,30,Last Week Tonight with John Oliver,2014– 
United States,"Biography,Crime,Drama",,TV-MA,8.9,"Asante Blackk,Ethan Herisse,Caleel Harris",Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.,296,When They See Us,2019
"United States,Spain,Argentina","Animation,Adventure,Comedy",,TV-Y7,8.9,"Alex Hirsch,Kristen Schaal,Jason Ritter","Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon.",23,Gravity Falls,2012–2016
United States,"Crime,Drama,Thriller",,TV-MA,8.9,"Allison Tolman,Martin Freeman,Billy Bob Thornton","Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.",53,Fargo,2014–2023
Japan,"Animation,Action,Adventure",Kaubôi bibappu: Cowboy Bebop,TV-14,8.9,"Megumi Hayashibara,Unshô Ishizuka,Kôichi Yamadera",The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.,24,Cowboy Bebop,1998–1999
Turkey,"Crime,Drama,Mystery",Sahsiyet,TV-MA,9.0,"Haluk Bilginer,Metin Akdülger,Cansu Dere",A man diagnosed with Alzheimer's decides to punish criminals.,65,Persona,2018
"Japan,Poland","Animation,Action,Adventure",,TV-14,9.0,"Cristina Valenzuela,Issei Futamata,Megumi Han","Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks out his father, who left him when he was younger.",24,Hunter x Hunter,2011–2014
United States,Comedy,,TV-PG,8.9,"Jerry Seinfeld,Julia Louis-Dreyfus,Michael Richards",The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,22,Seinfeld,1989–1998
"United Kingdom,New Zealand,United States","Documentary,Biography,Music",,PG-13,9.0,,Documentary about the music group The Beatles featuring in-studio footage that was shot in early 1969 for the 1970 feature film 'Let It Be.',468,The Beatles: Get Back,2021
United States,"Crime,Drama,Mystery",,TV-MA,8.9,"Rachel McAdams,Colin Farrell,Vince Vaughn","Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.",55,True Detective,2014– 
"Poland,West Germany",Drama,,TV-MA,9.0,"Olgierd Lukaszewicz,Olaf Lubaszenko,Artur Barcis","Ten television drama films, each one based on one of the Ten Commandments.",572,Dekalog,1989–1990
United States,"Documentary,History,War",,TV-14,9.1,"Julie Harris,Sam Waterston,David McCullough",A comprehensive survey of the American Civil War.,680,The Civil War,1990
United Kingdom,Comedy,Only Fools and Horses....,TV-PG,9.0,"Nicholas Lyndhurst,Roger Lloyd Pack,David Jason",Comedy that follows two brothers from London's rough Peckham estate as they wheel and deal through a number of dodgy deals and search for the big score that'll make them millionaires.,95,Only Fools and Horses,1981–2003
United States,"Documentary,Comedy",,TV-14,8.9,"Salomon Flores,Anthony Filosa,Nathan Fielder","Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often dr...",30,Nathan for You,2013–2017
United Kingdom,"Documentary,Comedy,Reality-TV",,TV-PG,9.0,"Jeremy Clarkson,Charlie Ireland,Kaleb Cooper",Follow Jeremy Clarkson as he attempts to run a farm in the countryside.,45,Clarkson's Farm,2021– 
United States,"Crime,Drama",,TV-MA,8.9,"Bob Odenkirk,Jonathan Banks,Rhea Seehorn",The trials and tribulations of criminal lawyer Jimmy McGill in the years leading up to his fateful run-in with Walter White and Jesse Pinkman.,46,Better Call Saul,2015–2022
Japan,"Animation,Crime,Drama",Death Note: Desu nôto,TV-14,9.0,"Mamoru Miyano,Vincent Tong,Brad Swaile",An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,23,Death Note,2006–2007
"United Kingdom,United States,Spain,Germany,Greece,Canada",Documentary,,TV-PG,9.0,"David Attenborough,Chadden Hunter,Alec Baldwin",Focuses on life and the environment in both the Arctic and Antarctic.,333,Frozen Planet,2011–2012
United States,"Adventure,Drama,Sci-Fi",,TV-14,9.0,"Gina Torres,Nathan Fillion,Alan Tudyk","Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority ag...",44,Firefly,2002–2003
United Kingdom,Documentary,,TV-PG,9.0,"Roger Munns,John Hurt",A cinematic experience bringing you the most amazing human stories in the world. Humans and wildlife surviving in the most extreme environments on Earth,50,Human Planet,2011
United States,Comedy,,TV-14,9.0,"John Krasinski,Steve Carell,Jenna Fischer","A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.",22,The Office,2005–2013
Japan,"Animation,Action,Adventure",Shingeki no Kyojin,TV-MA,9.0,"Bryce Papenbrook,Josh Grelle,Yûki Kaji","After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",24,Attack on Titan,2013–2023
"Australia,United Kingdom","Animation,Family",,TV-Y,9.5,"Rico Romaniuk,David McCormack,Melanie Zanetti",The slice-of-life adventures of an Australian Blue Heeler Cattle Dog puppy as she has fun with her family and friends in everyday situations.,7,Bluey,2018– 
United States,"Animation,Action,Adventure",,TV-PG,9.0,"Loren Lester,Efrem Zimbalist Jr.,Kevin Conroy",The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.,23,Batman: The Animated Series,1992–1995
"United States,France","Animation,Action,Adventure",Arcane: League of Legends,TV-14,9.0,"Kevin Alejandro,Hailee Steinfeld,Jason Spisak","Set in Utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League Of Legends champions and the power that will tear them apart.",41,Arcane,2021– 
United States,"Documentary,History,War",,TV-MA,9.1,"James Willbanks,Huy Duc,Peter Coyote",A comprehensive history of the United States' involvement in the bitterly divisive armed conflict in Southeast Asia.,990,The Vietnam War,2017
"United Kingdom,United States","Crime,Drama,Mystery",,TV-14,9.1,"Una Stubbs,Martin Freeman,Benedict Cumberbatch",A modern update finds the famous sleuth and his doctor partner solving crime in 21st-century London.,88,Sherlock,2010–2017
United States,"Drama,Fantasy,Horror",,TV-PG,9.1,"Rod Serling,Jay Overholts,Robert McCord","Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner.",51,The Twilight Zone,1959–1964
"United Kingdom,United States,Greece,Italy,Germany",Documentary,,TV-G,9.1,"David Attenborough,Oprah Winfrey,Doug Allan",David Attenborough's legendary BBC crew explains and shows wildlife all over planet earth. From giving an overview of the challenges facing life to hunting the deep sea and various major evo...,473,Life,2009
"United Kingdom,United States,Germany",Documentary,,TV-G,9.0,"David Attenborough,Pierce Brosnan,Peter Scoones","Mammoth series, five years in the making, taking a look at the rich tapestry of life in the world's oceans.",389,The Blue Planet,2001
United States,"Documentary,Biography,History",,TV-MA,9.1,"Michael Jordan,Phil Jackson,Scottie Pippen","Charting the rise of the 1990s Chicago Bulls, led by Michael Jordan, one of the most notable dynasties in sports history.",491,The Last Dance,2020
India,"Biography,Crime,Drama",,TV-14,9.3,"Shreya Dhanwanthary,Hemant Kher,Pratik Gandhi","Set in 1980s and '90s Bombay, it follows the life of Harshad Mehta, a stockbroker who took the stock market to dizzying heights and his catastrophic downfall.",54,Scam 1992: The Harshad Mehta Story,2020
