country,genre,original_title,public,score,stars,storyline,time,title,year
United States,"Comedy,Drama,Music",,TV-MA,8.6,"Donald Glover,Brian Tyree Henry,LaKeith Stanfield","Earn and his cousin Alfred, based in Atlanta, try to make their way in the world through the rap scene. Along the way they come face-to-face with social and economic issues touching on race,...",30,Atlanta,2016–2022
United States,"Crime,Drama,Mystery",,TV-MA,8.7,"David Zayas,Jennifer Carpenter,Michael C. Hall","He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them.",53,Dexter,2006–2013
United States,"Crime,Drama,Mystery",The X Files,TV-14,8.6,"David Duchovny,Mitch Pileggi,Gillian Anderson","Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts.",45,The X-Files,1993–2018
United Kingdom,Comedy,,TV-14,8.7,"Ardal O'Hanlon,Frank Kelly,Dermot Morgan","Three misfit priests and their housekeeper live on Craggy Island, not the peaceful and quiet part of Ireland that it seems to be.",25,Father Ted,1995–1998
United States,"Comedy,Drama,Romance",,TV-14,8.7,"Sterling K. Brown,Mandy Moore,Milo Ventimiglia","A heartwarming and emotional story about a unique set of triplets, their struggles, and their wonderful parents.",45,This Is Us,2016–2022
United States,Comedy,,TV-14,8.6,"Amy Poehler,Jim O'Heir,Nick Offerman",The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.,22,Parks and Recreation,2009–2015
Turkey,"Crime,Drama,Mystery",,TV-14,8.9,"Erdal Besikçioglu,Inanç Konukçu,Ege Aydan","Centered around a personally troubled, officially discredited police chief and his inharmonious police team in Ankara Police Force. Even though the show usually focuses on murders and other ...",90,Behzat Ç.: Bir Ankara Polisiyesi,2010–2019
United States,"Crime,Drama,History",,TV-MA,8.6,"Ian McShane,Molly Parker,Timothy Olyphant","A show set in the late 1800s, revolving around the characters of Deadwood, South Dakota; a town of deep corruption and crime.",55,Deadwood,2004–2006
India,Drama,,2021– ,9.2,"Naveen Kasturia,Abhilash Thapliyal,Shivankit Singh Parihar",It is the story of the journey of three UPSC (public service competitive exams in India) aspirants and their friendship against all odds.,,Aspirants,2021– 
India,"Adventure,Drama,History",,TV-14,9.0,"Mukesh Khanna,Nitish Bharadwaj,Harish Bhimani","When a dynastic struggle between the collateral branches of the Kuru clan, the Kauravas and Pandavas lead them to the threshold of war, Lord Krishna decides to step in and take control of th...",45,Mahabharat,1988–1990
United Kingdom,Comedy,,TV-MA,8.7,"Chris Addison,Peter Capaldi,James Smith",The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.,29,The Thick of It,2005–2012
United Kingdom,"Biography,Drama,History",,TV-MA,8.6,"Olivia Colman,Imelda Staunton,Claire Foy",Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the 20th century.,58,The Crown,2016–2023
United Kingdom,"Crime,Drama,Mystery",,TV-14,8.7,"Vicky McClure,Martin Compston,Adrian Dunbar","Drama series following the investigations of AC-12, a controversial police anti-corruption unit.",60,Line of Duty,2012–2021
United States,"Animation,Action,Adventure",,TV-Y7-FV,8.7,"George Newbern,Phil LaMarr,Kevin Conroy",A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics univers...,23,Justice League Unlimited,2004–2006
United Kingdom,"Adventure,Comedy,Sport",,TV-PG,8.7,"Jeremy Clarkson,Richard Hammond,James May","The hosts talk about everything car-related. From new cars to how they're fueled, this show has it all.",60,Top Gear,2002– 
United States,"Drama,Western",,TV-MA,8.7,"Tim McGraw,Faith Hill,Sam Elliott",Follows the Dutton family as they embark on a journey west.,60,1883,2021–2022
United States,Drama,,TV-MA,8.7,"Michel Gill,Kevin Spacey,Robin Wright",A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,51,House of Cards,2013–2018
"United Kingdom,United States","Comedy,Sport,Talk-Show",,TV-14,8.7,"Jeremy Clarkson,Richard Hammond,James May","Jeremy, Richard and James embark on an adventure across the globe, driving new and exciting automobiles from manufacturers all over the world.",60,The Grand Tour,2016– 
United States,"Drama,Sport",,TV-14,8.7,"Kyle Chandler,Connie Britton,Zach Gilford","A drama that follows the lives of the Dillon Panthers, one of the nation's best high school football teams, and their head coach Eric Taylor.",44,Friday Night Lights,2006–2011
United Kingdom,"Crime,Drama,Mystery",,TV-PG,8.7,"Rosalie Williams,David Burke,Jeremy Brett","Sherlock Holmes and Dr Watson solve the mysteries of copper beeches, a Greek interpreter, the Norwood builder, a resident patient, the red-headed league, and one final problem.",60,The Adventures of Sherlock Holmes,1984–1985
Japan,"Animation,Action,Adventure",Kenpuu Denki Berserk,TV-MA,8.7,"Carrie Keranen,Nobutoshi Canna,Marc Diraison","Guts is a skilled swordsman who joins forces with a mercenary group named 'The Band of the Hawk', lead by the charismatic Griffith, and fights with them as they battle their way into the roy...",23,Berserk,1997–1998
United States,"Comedy,Drama",,TV-MA,8.7,"Rachel Brosnahan,Alex Borstein,Michael Zegen","After her husband leaves her, young mother of two Miriam ""Midge"" Maisel discovers that she has a talent for stand-up comedy. Could this be her calling?",57,The Marvelous Mrs. Maisel,2017–2023
United States,"Action,Adventure,Sci-Fi",,TV-PG,8.7,"Brent Spiner,Jonathan Frakes,Patrick Stewart","Set almost 100 years after Captain Kirk's 5-year mission, a new generation of Starfleet officers sets off in the U.S.S. Enterprise-D on its own mission to go where no one has gone before.",44,Star Trek: The Next Generation,1987–1994
India,Comedy,,TV-PG,9.0,"Satish Shah,Ratna Pathak Shah,Sumeet Raghavan","The show revolves around the lives of the members of an Uber Wealthy - High Society Gujarati family of Cuffe Parade - South Mumbai, whose daughter-in-law is from a middle class Delhi backgro...",30,Sarabhai V/S Sarabhai,2004–2017
