actor,country,description,genre,original_title,public,score,time,title,year
"Tatsuya Gashûin,Chieko Baisho,Takuya Kimura",Japan,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions ...","Animation,Adventure,Family",Lâu Đài Di Động Của Howl,PG,8.2,1h 59m,Howl's Moving Castle,2004
"Grace Kelly,Ray Milland,Robert Cummings",United States,A former tennis star arranges the murder of his adulterous wife.,"Crime,Thriller",Alfred Hitchcock's Dial M for Murder,PG,8.2,1h 45m,Dial M for Murder,1954
"Natalie Portman,Rupert Graves,Hugo Weaving","United States,United Kingdom,Germany","In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.","Action,Drama,Sci-Fi",V for Vendetta: The IMAX Experience,R,8.2,2h 12m,V for Vendetta,2005
"Vivien Leigh,Clark Gable,Thomas Mitchell",United States,American motion picture classic in which a manipulative woman and a roguish man conduct a turbulent romance during the Civil War and Reconstruction periods.,"Drama,Romance,War",Gone with the Wind in 3-D,Passed,8.2,3h 58m,Gone with the Wind,1939
"John Huston,Jack Nicholson,Faye Dunaway",United States,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.","Drama,Mystery,Thriller",Kitajska četrt,R,8.2,2h 10m,Chinatown,1974
"Joe Pesci,Robert De Niro,Cathy Moriarty",United States,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.","Biography,Drama,Sport",The Life of Jake La Motta,R,8.1,2h 9m,Raging Bull,1980
"Keith David,Wilford Brimley,Kurt Russell","United States,Canada",A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,"Horror,Mystery,Sci-Fi",John Carpenter's The Thing,R,8.2,1h 49m,The Thing,1982
"John Hurt,Anne Bancroft,Anthony Hopkins","United States,United Kingdom","A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, inte...","Biography,Drama",Der Elefantenmensch,PG,8.2,2h 4m,The Elephant Man,1980
"Machiko Kyô,Toshirô Mifune,Masayuki Mori",Japan,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.","Crime,Drama,Mystery",V gozdu,Not Rated,8.2,1h 28m,Rashomon,1950
"Nick Moran,Jason Flemyng,Dexter Fletcher",United Kingdom,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.","Action,Comedy,Crime",Băng Đảng Người Anh,R,8.1,1h 47m,"Lock, Stock and Two Smoking Barrels",1998
"Albert Brooks,Alexander Gould,Ellen DeGeneres","United States,Japan","After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","Animation,Adventure,Comedy",Finding Nemo 3D,G,8.2,1h 40m,Finding Nemo,2003
"Uma Thurman,Daryl Hannah,David Carradine",United States,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.","Action,Crime,Drama",Kill Bill: Volume 1,R,8.2,1h 51m,Kill Bill: Vol. 1,2003
"Tom Holland,Zendaya,Benedict Cumberbatch",United States,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it trul...","Action,Adventure,Fantasy",Serenity Now,PG-13,8.2,2h 28m,Spider-Man: No Way Home,2021
"James Garner,Steve McQueen,Richard Attenborough",United States,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,"Adventure,Drama,History",Gesprengte Ketten,Approved,8.2,2h 52m,The Great Escape,1963
"Graham Chapman,Eric Idle,John Cleese",United Kingdom,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.","Adventure,Comedy,Fantasy",Mønti Pythøn ik den Høli Gräilen,PG,8.2,1h 31m,Monty Python and the Holy Grail,1975
"Javier Bardem,Josh Brolin,Tommy Lee Jones",United States,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,"Crime,Drama,Thriller",Không Chốn Dung Thân,R,8.2,2h 2m,No Country for Old Men,2007
"Humphrey Bogart,Tim Holt,Walter Huston",United States,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,"Adventure,Drama,Western",Treasure of Sierra Madre,Passed,8.2,2h 6m,The Treasure of the Sierra Madre,1948
"Mark Ruffalo,Emily Mortimer,Leonardo DiCaprio",United States,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.","Mystery,Thriller",Ashecliffe,R,8.2,2h 18m,Shutter Island,2010
"Bruce Willis,Haley Joel Osment,Toni Collette",United States,"A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist.","Drama,Mystery,Thriller",Giác Quan Thứ Sáu,PG-13,8.2,1h 47m,The Sixth Sense,1999
"Eijirô Tôno,Tatsuya Nakadai,Toshirô Mifune",Japan,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,"Action,Drama,Thriller",The Bodyguard,Not Rated,8.2,1h 50m,Yojimbo,1961
"Laura Dern,Sam Neill,Jeff Goldblum",United States,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned din...,"Action,Adventure,Sci-Fi",JP,PG-13,8.2,2h 7m,Jurassic Park,1993
"Clint Eastwood,Gene Hackman,Morgan Freeman",United States,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""","Drama,Western",The Cut Whore Killings,R,8.2,2h 10m,Unforgiven,1992
"Ed Harris,Russell Crowe,Jennifer Connelly",United States,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.","Biography,Drama",Một Tâm Hồn Đẹp,PG-13,8.2,2h 15m,A Beautiful Mind,2001
"Paul Dano,Daniel Day-Lewis,Ciarán Hinds",United States,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",Drama,Oil!,R,8.2,2h 38m,There Will Be Blood,2007
"Akira Terao,Tatsuya Nakadai,Jinpachi Nezu","Japan,France","In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn o...","Action,Drama,War",Revolt,R,8.2,2h 42m,Ran,1985
"Ed Harris,Laura Linney,Jim Carrey",United States,An insurance salesman discovers his whole life is actually a reality TV show.,"Comedy,Drama",Buổi Diễn Của Truman,PG,8.2,1h 43m,The Truman Show,1998
"Joe Pesci,Robert De Niro,Sharon Stone","United States,France","A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fas...","Crime,Drama",Sòng Bạc,R,8.2,2h 58m,Casino,1995
"Ivana Baquero,Ariadna Gil,Sergi López","Mexico,Spain","In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.","Drama,Fantasy,War",The Labyrinth of the Faun,R,8.2,1h 58m,Pan's Labyrinth,2006
"Spencer Tracy,Burt Lancaster,Richard Widmark",United States,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.","Drama,War",Sojenje v Nürnbergu,Approved,8.3,2h 59m,Judgment at Nuremberg,1961
"Jonah Hill,Margot Robbie,Leonardo DiCaprio",United States,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","Biography,Comedy,Crime",Sói Già Phố Wall,R,8.2,3h,The Wolf of Wall Street,2013
"George Sanders,Anne Baxter,Bette Davis",United States,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,Drama,Best Performance,Passed,8.2,2h 18m,All About Eve,1950
"Tony Curtis,Jack Lemmon,Marilyn Monroe",United States,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.","Comedy,Music,Romance","Not Tonight, Josephine!",Passed,8.2,2h 1m,Some Like It Hot,1959
"Michael Caine,Ken Watanabe,Christian Bale","United States,United Kingdom","After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.","Action,Crime,Drama",Batman 5,PG-13,8.2,2h 20m,Batman Begins,2005
"Jackie Coogan,Charles Chaplin,Edna Purviance",United States,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.","Comedy,Drama,Family",The Waif,Passed,8.3,1h 8m,The Kid,1921
"Viggo Mortensen,Mahershala Ali,Linda Cardellini","United States,China",A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,"Biography,Comedy,Drama",Cẩm Nang Xanh,PG-13,8.2,2h 10m,Green Book,2018
"Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh","India,United States",Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,"Biography,Drama,Sport",Wrestling Competition,Not Rated,8.3,2h 41m,Dangal,2016
"Miles Teller,Jennifer Connelly,Tom Cruise",United States,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ...","Action,Drama",Phi Công Siêu Đẳng Maverick,PG-13,8.3,2h 10m,Top Gun: Maverick,2022
"Bruno Ganz,Ulrich Matthes,Alexandra Maria Lara","Germany,Austria,Italy","Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.","Biography,Drama,History",Ngày Tàn Của Hitler,R,8.2,2h 36m,Downfall,2004
"Lee Van Cleef,Gian Maria Volontè,Clint Eastwood","Italy,Spain,West Germany",Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw.,Western,Za dolar več,R,8.2,2h 12m,For a Few Dollars More,1965
"Daniel Mays,George MacKay,Dean-Charles Chapman","United Kingdom,United States,India,Spain","April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from wa...","Action,Drama,War",Thế Chiến 1917,R,8.2,1h 59m,1917,2019
"Mark Gatiss,Olivia Colman,Anthony Hopkins","United Kingdom,France,United States","A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his...","Drama,Mystery",Ota,PG-13,8.2,1h 37m,The Father,2020
"Lamberto Maggiorani,Lianella Carell,Enzo Staiola",Italy,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",Drama,The Bicycle Thief,Not Rated,8.3,1h 29m,Bicycle Thieves,1948
"Darsheel Safary,Tanay Chheda,Aamir Khan",India,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.","Drama,Family",Taare Zameen Par,PG,8.3,2h 45m,Like Stars on Earth,2007
"Alison Doody,Harrison Ford,Sean Connery",United States,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.","Action,Adventure",Indiana Jones 3,PG-13,8.2,2h 7m,Indiana Jones and the Last Crusade,1989
"Bonnie Bedelia,Bruce Willis,Alan Rickman,Fox Plaza - 2121 Avenue of the Stars, Century City, Los Angeles, California, USA",United States,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,"Action,Thriller",Umri pokončno,R,8.2,2h 12m,Die Hard,1988
"Cybill Shepherd,Robert De Niro,Jodie Foster",United States,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.","Crime,Drama",Tài Xế Taxi,R,8.2,1h 54m,Taxi Driver,1976
"Sareh Bayat,Leila Hatami,Payman Maadi","Iran,France,Australia",A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzhei...,Drama,Cuộc Chia Ly,PG-13,8.3,2h 3m,A Separation,2011
