actor,country,description,genre,original_title,public,score,time,title,year
"Adolphe Menjou,Kirk Douglas,Ralph Meeker",United States,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.","Drama,War",Путеви славе,Approved,8.4,1h 28m,Paths of Glory,1957
"Jamie Foxx,Christoph Waltz,Leonardo DiCaprio",United States,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.","Drama,Western",Hành Trình Của Django,R,8.4,2h 45m,Django Unchained,2012
"Florence Lee,Charles Chaplin,Virginia Cherrill",United States,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.","Comedy,Drama,Romance",City Lights: A Comedy Romance in Pantomime,G,8.5,1h 27m,City Lights,1931
"Carrie-Anne Moss,Guy Pearce,Joe Pantoliano",United States,A man with short-term memory loss attempts to track down his wife's murderer.,"Mystery,Thriller",Kẻ Mất Trí Nhớ,R,8.4,1h 53m,Memento,2000
"Marlon Brando,Martin Sheen,Robert Duvall",United States,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,"Drama,Mystery,War",Apocalypse Now: Final Cut,R,8.5,2h 27m,Apocalypse Now,1979
"James Stewart,Grace Kelly,Wendell Corey",United States,"A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism o...","Mystery,Thriller",Alfred Hitchcock's Rear Window,PG,8.5,1h 52m,Rear Window,1954
"Sigourney Weaver,John Hurt,Tom Skerritt","United Kingdom,United States",The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.,"Horror,Sci-Fi",Alien: The Director's Cut,R,8.5,1h 57m,Alien,1979
"Chris Hemsworth,Mark Ruffalo,Robert Downey Jr.",United States,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,"Action,Adventure,Sci-Fi",Mary Lou,PG-13,8.4,2h 29m,Avengers: Infinity War,2018
"Henry Fonda,Claudia Cardinale,Charles Bronson","Italy,United States",A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Western,There Was Once the West,PG-13,8.5,2h 45m,Once Upon a Time in the West,1968
"Enzo Cannavale,Antonella Attili,Philippe Noiret","Italy,France",A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,"Drama,Romance",Cinema Paradiso: The New Version,PG,8.5,2h 35m,Cinema Paradiso,1988
"Tatsuya Nakadai,Shima Iwashita,Akira Ishihama",Japan,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so ...","Action,Drama,Mystery",Hara-Kiri,Not Rated,8.6,2h 13m,Harakiri,1962
"François Cluzet,Omar Sy,Anne Le Ny",France,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.","Biography,Comedy,Drama",Những Kẻ Bên Lề,R,8.5,1h 52m,The Intouchables,2011
"Tsutomu Tatsumi,Akemi Yamaguchi,Ayano Shiraishi",Japan,A young boy and his little sister struggle to survive in Japan during World War II.,"Animation,Drama,War",La tumba de las luciérnagas,Not Rated,8.5,1h 29m,Grave of the Fireflies,1988
"Charles Chaplin,Paulette Goddard,Henry Bergman",United States,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,"Comedy,Drama,Romance",The Masses,G,8.5,1h 27m,Modern Times,1936
"Ingrid Bergman,Humphrey Bogart,Paul Henreid",United States,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,"Drama,Romance,War",Everybody Comes to Rick's,PG,8.5,1h 42m,Casablanca,1942
"Scarlett Johansson,Christian Bale,Hugh Jackman","United Kingdom,United States","After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.","Drama,Mystery,Sci-Fi",Ảo Thuật Gia Đấu Trí,PG-13,8.5,2h 10m,The Prestige,2006
"Melissa Benoist,Miles Teller,J.K. Simmons",United States,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,"Drama,Music",Tay Trống Cự Phách,R,8.5,1h 46m,Whiplash,2014
"Matt Damon,Jack Nicholson,Leonardo DiCaprio","United States,Hong Kong",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,"Crime,Drama,Thriller",Điệp Vụ Boston,R,8.5,2h 31m,The Departed,2006
"Chazz Palminteri,Kevin Spacey,Gabriel Byrne","United States,Germany","A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.","Crime,Drama,Mystery",Nghi Phạm Vô Hình,R,8.5,1h 46m,The Usual Suspects,1995
"Edward Norton,Edward Furlong,Beverly D'Angelo",United States,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,"Crime,Drama",Fatalni kurs X,R,8.5,1h 59m,American History X,1998
"Matthew Broderick,Jeremy Irons,James Earl Jones",United States,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","Animation,Adventure,Drama",King of the Jungle,G,8.5,1h 28m,The Lion King,1994
"Lee Sun-kyun,Cho Yeo-jeong,Song Kang-ho",South Korea,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,"Drama,Thriller",Ký Sinh Trùng,R,8.5,2h 12m,Parasite,2019
